class,road_number,road_name,route_shield,status,status_detail,area,length_km,segments,other_names_on_road
Regional,0000453,Toronto-Nr Glendon Brook,A43,red,Does not meet,rural,16.68,3,Elderslie
Regional,0000454,Wyee,,red,Does not meet,urban,12.68,6,
Regional,0000455,Peats Ridge,B83,red,Does not meet,rural,29.36,37,
Regional,0000456,Mt Ettalong,,red,Does not meet,urban,6.17,10,Barrenjoey; West
Regional,0000457,Collarenebri-Mungindi,B76,red,Does not meet,rural,84.25,7,
Regional,0000460,Plummers,,red,Does not meet,rural,14.68,2,
Regional,0000461,Condobolin-Cobar,,red,Does not meet,rural,180.41,21,
Regional,0000462,Bruxner,,red,Does not meet,rural,227.98,23,
Regional,0000463,Tyagarah-Mullumbimby,,red,Does not meet,rural,4.08,2,Burringbar
Regional,0000464,Maitland,A43,red,Does not meet,urban,7.72,17,
Regional,0000467,Stony Crossing,,red,Does not meet,rural,51.62,6,Swan Hill
Regional,0000468,Oakdale,,red,Does not meet,rural,7.01,2,
Regional,0000469,Dorrigo-Megan,,red,Does not meet,rural,13.39,2,
Regional,0000501,Lachlan Valley,B87,red,Does not meet,rural,133.20,8,
Regional,0000506,Myall,,orange,Likely meets (ADT),rural,9.99,1,
Regional,0000507,Goondiwindi-Mungindi,,red,Does not meet,rural,149.77,14,
Regional,0000514,Oxley,,red,Does not meet,rural,146.15,9,Maude
Regional,0000518,Medowie,,orange,Likely meets (ADT),rural,16.76,7,
Regional,0000519,Blaxlands Ridge,,red,Does not meet,rural,17.91,3,Comleroy
Regional,0000531,Wallerawang-Cullen Bullen,A32,red,Does not meet,rural,23.31,16,Cullen Bullen
Regional,0000538,Kew-Comboyne,,red,Does not meet,rural,2.26,1,
Regional,0000539,Whitton-Darlington Point,,red,Does not meet,rural,26.37,4,
Regional,0000540,Hogbin,A1,red,Does not meet,urban,14.47,15,
Regional,0000543,Millwood,A41,red,Does not meet,rural,58.00,15,The Rock-Coolamon Road
Regional,0000544,Bentley,B60,red,Does not meet,rural,35.21,5,
Regional,0000545,Coast,,red,Does not meet,rural,35.98,19,Shirley
Regional,0000547,Jindera-Walla Park,,red,Does not meet,rural,29.43,6,
Regional,0000550,Mulwala-Barooga,,red,Does not meet,rural,49.42,9,Barooga-Tocumwal; Tocumwal
Regional,0000552,Conargo,MR552,red,Does not meet,rural,84.05,8,
Regional,0000556,,,red,Does not meet,rural,3.99,2,
Regional,0000560,Beach,,orange,Likely meets (ADT),urban,5.12,13,
Regional,0000561,Imlay,A1,orange,Likely meets (ADT),urban,1.22,4,Albert
Regional,0000563,Cathcart-Bibbenluke,,red,Does not meet,rural,9.41,1,
Regional,0000564,Berrigan,B58,red,Does not meet,rural,29.33,4,Jerilderie
Regional,0000569,Sutton Forest-Bundanoon,,red,Does not meet,rural,11.54,3,Railway
Regional,0000571,Fern,,red,Does not meet,rural,4.66,9,Belinda
Regional,0000573,Orange-Stuart Town,,red,Does not meet,rural,85.96,12,Stuart Town-Wellington
Regional,0000576,Cowra-Wyangala Dam,,red,Does not meet,rural,36.93,10,
Regional,0000579,Werris Creek Gap,,red,Does not meet,rural,12.22,1,
Regional,0000584,Old Cooma,,red,Does not meet,rural,14.52,12,Cooma
Regional,0000585,Middlingbank,,red,Does not meet,rural,30.29,3,
Regional,0000590,George Downes,,red,Does not meet,rural,29.39,4,
Regional,0000596,Yamma,,red,Does not meet,rural,45.98,6,Morundah
Regional,0000598,Gulgong-Ulan,,red,Does not meet,rural,31.72,9,Mayne
Regional,0000600,Kew -,A1,orange,Likely meets (ADT),urban,52.60,37,Hastings River
Regional,0000603,Carnley,M1,red,Does not meet,urban,3.27,5,
Regional,0000604,Brunker,,red,Does not meet,urban,7.32,17,Tudor
Regional,0000610,Wilton,B88,orange,Likely meets (ADT),rural,11.61,5,Macarthur
Regional,0000613,Northcliffe,M1,orange,Likely meets (ADT),urban,11.98,24,
Regional,0000618,Warrumbungles,,red,Does not meet,rural,33.26,5,Cassilis; Vinegaroy
Regional,0000622,Tenterfield-Woodenbong,,red,Does not meet,rural,137.99,19,
Regional,0000623,,,orange,Likely meets (ADT),urban,1.89,1,
Regional,0000624,Ramsgate,,red,Does not meet,urban,2.91,6,Park
Regional,0000625,Boundary,M1,red,Does not meet,urban,1.72,13,Mclachlan; Neild
Regional,0000627,Alpine,,red,Does not meet,rural,15.25,4,
Regional,0000628,Tooma,,red,Does not meet,rural,63.81,10,
Regional,0000631,Coogee Bay,,red,Does not meet,urban,1.27,8,
Regional,0000645,Mereworth,,red,Does not meet,rural,3.00,1,
Regional,0000678,Old Princes,M1,red,Does not meet,rural,22.63,16,Princes
Regional,0000679,Tweed Valley,,red,Does not meet,rural,44.83,12,
Regional,0000688,Mate,B58,orange,Likely meets (ADT),urban,11.42,14,Wagga; Wodonga
Regional,0000689,Brunswick Nth Interchange To Tweed Valley,M1,orange,Likely meets (ADT),urban,14.03,20,Brunswick Sth Interchange To Brunswick Nth; Wreckers Corner Interchange To Mullumbimby
Regional,0000695,Pacific,M1,green,Meets,rural,12.66,22,River
Regional,0000703,Bald Nob,,red,Does not meet,rural,11.65,2,
Regional,0000711,New England,A15,orange,Likely meets (ADT),urban,1.69,6,
Regional,0000712,Aberdeen,,orange,Likely meets (ADT),urban,0.41,3,St Aubins
Regional,0002005,Mitchell,,red,Does not meet,urban,0.68,3,Henderson
Regional,0002007,Crystal,A22,red,Does not meet,urban,1.38,5,Shaw
Regional,0002008,Bourke,,red,Does not meet,urban,0.86,3,
Regional,0002011,Wyndham,,red,Does not meet,urban,1.09,3,
Regional,0002013,Marion,,red,Does not meet,urban,3.91,17,Ramsay
Regional,0002014,Brighton,A34,red,Does not meet,urban,2.92,19,Beamish
Regional,0002019,Kurraba,,red,Does not meet,urban,3.67,19,Spofforth; High
Regional,0002021,Moorefields,A34,red,Does not meet,urban,11.16,39,William; Illawarra; Homer
Regional,0002024,Balaclava,,red,Does not meet,urban,2.39,7,
Regional,0002025,Lauderdale,,red,Does not meet,urban,1.78,6,Commonwealth; West; Rosedale
Regional,0002027,Paisley,,red,Does not meet,urban,3.17,13,Railway; Thomas
Regional,0002028,Carlton,A34,red,Does not meet,urban,2.22,16,Trafalgar
Regional,0002029,Willoughby,,red,Does not meet,urban,0.53,2,
Regional,0002032,West Botany,A36,red,Does not meet,urban,3.58,6,
Regional,0002033,Ryde,,red,Does not meet,urban,2.80,15,
Regional,0002036,Ourimbah,A8,red,Does not meet,urban,3.63,13,Ernest; Gerard; Macpherson
Regional,0002039,Lovell,A32,red,Does not meet,urban,5.22,13,Scott; Main; Megalong
Regional,0002040,King,,red,Does not meet,urban,2.43,18,Milton
Regional,0002043,Birdwood,A3,red,Does not meet,urban,15.89,25,Burns
Regional,0002048,Andrews,A9,red,Does not meet,urban,2.54,6,
Regional,0002049,Parkes,,red,Does not meet,urban,1.79,9,Hassall
Regional,0002050,Belmore,,red,Does not meet,urban,3.36,6,
Regional,0002052,Pittwater,,red,Does not meet,urban,5.13,29,
Regional,0002057,East,,red,Does not meet,urban,8.36,38,Arthur
Regional,0002058,Wicks,A3,red,Does not meet,urban,2.52,9,Goulding
Regional,0002064,Elizabeth,A22,red,Does not meet,urban,1.29,8,
Regional,0002065,Norton,A22,orange,Likely meets (ADT),urban,1.43,7,
Regional,0002066,O'Connell,A44,red,Does not meet,urban,0.08,2,
Regional,0002068,The River Road,M5,red,Does not meet,urban,3.95,11,
Regional,0002069,Rawson,A6,red,Does not meet,urban,1.96,5,
Regional,0002070,River,,red,Does not meet,urban,5.03,9,
Regional,0002074,Anzac,,red,Does not meet,urban,8.23,8,
Regional,0002075,President,,red,Does not meet,urban,10.91,20,Captain Cook
Regional,0002083,Elizabeth,,red,Does not meet,urban,2.15,8,Chalmers
Regional,0002089,Ocean,,red,Does not meet,urban,1.47,21,William
Regional,0002091,Chandos,,red,Does not meet,urban,0.98,6,Christie
Regional,0002092,Mowbray,,red,Does not meet,urban,5.01,10,
Regional,0002093,Flat Rock,,red,Does not meet,urban,2.04,6,Alpha; Brook
Regional,0002096,Wellington,,red,Does not meet,urban,4.81,12,Rawson; Vaughan
Regional,0002098,Pitt,A44,red,Does not meet,urban,3.75,19,
Regional,0002099,Unwins Bridge,A36; M8,red,Does not meet,urban,5.03,15,Bayview
Regional,0002100,Church,,red,Does not meet,urban,1.63,11,Arthur
Regional,0002101,Forest,,red,Does not meet,urban,0.31,1,
Regional,0002102,Oliver,A8,red,Does not meet,urban,5.13,19,Griffin; Dee Why
Regional,0002103,Old Pacific,,red,Does not meet,urban,0.76,1,
Regional,0002104,Seven Hills,,red,Does not meet,urban,4.56,7,
Regional,0002105,The Horsley Drive,A28,red,Does not meet,urban,4.55,6,
Regional,0002106,Hassall,,red,Does not meet,urban,0.23,1,
Regional,0002107,Memorial,A34,orange,Likely meets (ADT),urban,0.62,5,Bathurst; Macquarie; Pirie
Regional,0002108,Bradleys Head,A8,red,Does not meet,urban,3.31,6,Military; Athol Wharf
Regional,0002109,Castlereagh,,red,Does not meet,rural,12.24,4,
Regional,0002110,Pittwater,A8,red,Does not meet,urban,7.40,9,Mccarrs Creek
Regional,0002111,Miller,,red,Does not meet,urban,1.12,2,
Regional,0002112,Condamine,A8,red,Does not meet,urban,0.78,5,
Regional,0002113,Pennant,,red,Does not meet,urban,0.90,5,
Regional,0002114,Pennant Hills,A28,red,Does not meet,urban,1.29,3,
Regional,0002120,Buchanan,,orange,Likely meets (ADT),rural,11.71,2,
Regional,0002122,Macdonald,,red,Does not meet,rural,1.19,2,Broadwater-Evans Head
Regional,0002123,Hart,,orange,Likely meets (ADT),rural,5.49,2,Frame
Regional,0002124,Ruttleys,,red,Does not meet,urban,8.58,3,Ruttleys Road Mannering
Regional,0002125,Lorne,,red,Does not meet,rural,28.67,4,Graham
Regional,0002126,Edmondson,,red,Does not meet,urban,3.80,3,
Regional,0004006,River,,red,Does not meet,rural,27.59,3,
Regional,0004033,Burrinjuck,,red,Does not meet,rural,28.30,3,
Regional,0004053,Coonabarabran-Gumin,,red,Does not meet,rural,46.13,6,Eden
Regional,0004056,Willis-Kosciusko National,,red,Does not meet,rural,33.58,3,
Regional,0004057,Lovedale,,red,Does not meet,rural,12.76,2,
Regional,0004058,Broadwater-Evans Head,,orange,Likely meets (ADT),rural,9.94,1,
Regional,0007001,The Boulevarde,A1,red,Does not meet,urban,3.98,6,
Regional,0007002,Bates,A1,red,Does not meet,urban,1.48,4,
Regional,0007003,Chuter,,red,Does not meet,urban,2.97,4,
Regional,0007004,Lily,,red,Does not meet,urban,1.86,6,Park; Elizabeth
Regional,0007006,Bonds,A34; A3; A36,red,Does not meet,urban,12.50,53,Boundary; Railway
Regional,0007008,Bourke,M1,red,Does not meet,urban,0.75,4,Crescent
Regional,0007009,Railway,A36,orange,Likely meets (ADT),urban,3.97,40,
Regional,0007010,Woniora,,red,Does not meet,urban,0.81,1,
Regional,0007012,Penshurst,,red,Does not meet,urban,4.54,18,Broad Arrow
Regional,0007015,Gloucester,A3,red,Does not meet,urban,1.96,16,
Regional,0007017,Edgeware,M8; A34,red,Does not meet,urban,3.88,19,Campbell; Burrows
Regional,0007018,Addison,,red,Does not meet,urban,2.58,7,Alice; Llewellyn
Regional,0007023,King,M1,red,Does not meet,urban,2.08,9,Maloney
Regional,0007030,Slade,M8; D5,red,Does not meet,urban,3.86,16,Preddys; New Illawarra
Regional,0007031,Captain Cook,,red,Does not meet,urban,8.52,11,
Regional,0007035,Commercial,,red,Does not meet,urban,2.19,8,Bundara
Regional,0007037,Bestic,A1,orange,Likely meets (ADT),urban,2.02,5,
Regional,0007038,,M8,red,Does not meet,urban,0.30,2,
Regional,0007044,Maroubra,,red,Does not meet,urban,6.15,9,Stephen; Page
Regional,0007045,Coward,,red,Does not meet,urban,0.32,2,
Regional,0007047,Homebush,,red,Does not meet,urban,6.37,15,Burwood
Regional,0007048,,A36,red,Does not meet,urban,1.10,13,
Regional,0007051,Lakemba,,red,Does not meet,urban,3.77,22,Ninth
Regional,0007053,Wardell,A34,red,Does not meet,urban,4.94,28,Permanent
Regional,0007054,Marrickville,,red,Does not meet,urban,2.02,5,
Regional,0007055,Mowbray,,red,Does not meet,urban,2.20,2,
Regional,0007061,Huntley,,red,Does not meet,urban,0.88,3,Collins
Regional,0007062,Cosgrove,,red,Does not meet,urban,2.30,4,
Regional,0007067,Fifth,,orange,Likely meets (ADT),urban,2.43,3,Burwood
Regional,0007072,Frazer,A34,red,Does not meet,urban,0.83,2,
Regional,0007078,Toothill,,red,Does not meet,urban,0.39,1,
Regional,0007083,Elizabeth,,red,Does not meet,urban,3.24,12,Chalmers
Regional,0007084,West,,red,Does not meet,urban,0.48,2,
Regional,0007085,Salisbury,M8; A36,red,Does not meet,urban,3.03,18,Carillon; Percival
Regional,0007086,Wolli Creek,,red,Does not meet,urban,0.08,1,
Regional,0007088,Bridge,M8,red,Does not meet,urban,0.45,4,
Regional,0007094,Missenden,,red,Does not meet,urban,0.24,1,
Regional,0007097,Redmyre,,orange,Likely meets (ADT),urban,0.54,2,
Regional,0007101,Hector,A22,red,Does not meet,urban,9.17,27,Clyde
Regional,0007102,Park,,red,Does not meet,urban,8.24,40,Waldron; Christina
Regional,0007103,Birnie,,red,Does not meet,urban,1.42,2,Bachell
Regional,0007105,Auburn,A22,red,Does not meet,urban,4.57,35,Amy
Regional,0007106,Railway,,red,Does not meet,urban,4.33,2,
Regional,0007115,Miller,,red,Does not meet,urban,1.76,8,
Regional,0007116,Wellington,,red,Does not meet,urban,0.87,10,
Regional,0007117,Brunker,,red,Does not meet,urban,1.56,6,
Regional,0007118,Waterloo,A22,red,Does not meet,urban,3.31,8,
Regional,0007119,Wattle,A6; A3,red,Does not meet,urban,2.61,16,
Regional,0007120,Edgar,A34,red,Does not meet,urban,4.87,30,Queen
Regional,0007121,Marion,,red,Does not meet,urban,5.33,15,
Regional,0007122,Chapel,A34,red,Does not meet,urban,5.71,19,Gibson
Regional,0007123,Rickard,A6,red,Does not meet,urban,0.76,2,
Regional,0007124,Macauley,A6,red,Does not meet,urban,0.78,3,
Regional,0007125,Beaconsfield,M5,red,Does not meet,urban,4.09,15,Ashford
Regional,0007126,Sphinx,A6,red,Does not meet,urban,2.05,18,Watson
Regional,0007127,Tower,,red,Does not meet,urban,3.67,12,Park
Regional,0007128,Uranus,A6,red,Does not meet,urban,2.46,15,Alma
Regional,0007140,Cattai Ridge,,red,Does not meet,rural,19.87,5,Scheyville
Regional,0007141,Annangrove,,red,Does not meet,rural,13.37,16,
Regional,0007142,Glenhaven,,red,Does not meet,urban,8.94,15,Samantha Riley
Regional,0007143,Barclay,,red,Does not meet,urban,3.41,5,Renown; Cook
Regional,0007144,North Rocks,,red,Does not meet,urban,6.21,4,
Regional,0007145,Jenkins,A28; M2,red,Does not meet,urban,4.12,9,Oakes; Aiken
Regional,0007146,Gilbert,,red,Does not meet,urban,3.58,8,
Regional,0007150,Blacktown,A44,red,Does not meet,urban,2.06,16,
Regional,0007151,Best,,red,Does not meet,urban,1.63,7,
Regional,0007152,Vardys,,red,Does not meet,urban,17.00,29,
Regional,0007153,Quakers Hill,,red,Does not meet,urban,30.98,48,Knox; Ferrers; Doonside
Regional,0007155,Newton,,orange,Likely meets (ADT),urban,2.53,9,
Regional,0007156,Bungaribee,,red,Does not meet,urban,3.27,6,
Regional,0007157,Railway,,red,Does not meet,urban,12.42,12,Riverstone; Hambledon
Regional,0007159,Power,,red,Does not meet,urban,3.15,8,
Regional,0007160,Glendenning,M7,red,Does not meet,urban,3.80,21,Lamb; Woodstock
Regional,0007161,Luxford,,red,Does not meet,urban,20.24,25,
Regional,0007162,Carlisle,,red,Does not meet,urban,6.23,10,
Regional,0007163,Jersey,,red,Does not meet,urban,8.08,22,
Regional,0007164,Palmyra,,red,Does not meet,rural,8.41,13,Eighth; Ninth
Regional,0007166,Stony Creek,,red,Does not meet,rural,6.53,2,St Marys
Regional,0007167,Forrester,,red,Does not meet,urban,9.39,14,Glossop
Regional,0007168,Debrincat,,red,Does not meet,urban,2.26,9,Aurora
Regional,0007169,Woodstock,,red,Does not meet,urban,0.69,4,Clucas
Regional,0007170,Eastern,M7,red,Does not meet,urban,3.75,7,
Regional,0007180,Cawdor,,red,Does not meet,urban,4.39,10,
Regional,0007181,Old Hume,,red,Does not meet,urban,2.31,7,Broughton
Regional,0007190,Junction,,red,Does not meet,urban,10.13,46,Broughton; Rose Payten
Regional,0007191,Gilchrist,B69,red,Does not meet,urban,9.52,28,Network Change - Blaxland; Therry
Regional,0007192,Eagle Vale,M31,red,Does not meet,urban,5.81,40,Network Change - Badgally
Regional,0007193,Queen,,red,Does not meet,urban,1.06,2,
Regional,0007194,Raby,M31,red,Does not meet,urban,9.05,21,
Regional,0007195,Denham Court,,red,Does not meet,urban,4.79,6,
Regional,0007196,Ben Lomond,,red,Does not meet,urban,2.14,11,
Regional,0007197,Williamson,,red,Does not meet,urban,10.20,24,Henderson
Regional,0007198,Cumberland,,red,Does not meet,urban,7.96,33,Railway
Regional,0007199,Saywell,,red,Does not meet,urban,0.98,1,
Regional,0007200,Hurley,,red,Does not meet,urban,2.99,7,
Regional,0007205,Boundary,,red,Does not meet,urban,9.33,4,
Regional,0007207,Spinks,,red,Does not meet,rural,20.19,8,Freemans Reach; Terrace
Regional,0007208,Fairey,,red,Does not meet,urban,1.86,4,Argyle
Regional,0007209,March,B59,red,Does not meet,urban,0.68,1,
Regional,0007210,Lennox,,red,Does not meet,urban,0.54,1,
Regional,0007211,Bourke,,red,Does not meet,urban,0.40,2,
Regional,0007212,Grose Vale,,orange,Likely meets (ADT),rural,12.01,2,
Regional,0007220,Smithfield,A28,red,Does not meet,urban,5.66,12,
Regional,0007221,Sackville,,red,Does not meet,urban,6.63,11,St Johns
Regional,0007222,Polding,,red,Does not meet,urban,11.67,36,Restwell; Fairfield
Regional,0007223,Hamilton,,red,Does not meet,urban,6.20,15,Lawson
Regional,0007224,Canley Vale,,red,Does not meet,urban,4.61,10,
Regional,0007225,Bartley,,red,Does not meet,urban,0.67,3,
Regional,0007226,Bareena,,red,Does not meet,urban,2.10,21,Chancery
Regional,0007227,Gladstone,A28,red,Does not meet,urban,1.09,17,
Regional,0007228,Edensor,,red,Does not meet,urban,5.92,17,Meadows
Regional,0007229,Mimosa,,red,Does not meet,urban,3.08,5,
Regional,0007230,Wetherill,,red,Does not meet,urban,1.24,3,
Regional,0007231,King,,red,Does not meet,urban,3.66,8,Avoca
Regional,0007232,Fairfield,,red,Does not meet,urban,4.14,19,Vine
Regional,0007233,Railway,,red,Does not meet,urban,3.51,8,
Regional,0007240,Copeland,A28,red,Does not meet,urban,1.65,2,
Regional,0007241,Bellamy,M11,red,Does not meet,urban,1.55,5,Stevens
Regional,0007242,New Line,,red,Does not meet,urban,1.83,3,
Regional,0007243,Malsbury,A28; B83,red,Does not meet,urban,5.37,14,The Esplanade; Yarrara
Regional,0007244,The Comenarra Parkway,A3,red,Does not meet,urban,7.82,11,Yanko
Regional,0007245,Sherbrook,B83,red,Does not meet,urban,3.21,7,Royston
Regional,0007250,Merrylands,A28,orange,Likely meets (ADT),urban,6.14,10,
Regional,0007251,Centenary,,orange,Likely meets (ADT),urban,3.71,4,Sherwood; Woodpark
Regional,0007252,Burnett,,orange,Likely meets (ADT),urban,5.34,8,Fowler; Mc Credie
Regional,0007253,Hawksview,,red,Does not meet,urban,2.20,8,Oxford
Regional,0007255,Merrylands,,red,Does not meet,urban,0.41,1,
Regional,0007256,Toongabbie,,red,Does not meet,urban,4.08,20,Cornelia
Regional,0007257,Dunmore,,red,Does not meet,urban,1.44,8,Goodall
Regional,0007260,Badgerys Creek,,orange,Likely meets (ADT),rural,6.73,1,
Regional,0007261,Devonshire,,red,Does not meet,rural,7.91,2,King
Regional,0007262,Bernera,M7,red,Does not meet,urban,2.65,10,
Regional,0007263,Kurrajong,M7,red,Does not meet,urban,4.58,20,
Regional,0007264,Beech,M5,red,Does not meet,urban,0.73,2,
Regional,0007266,Flowerdale,,red,Does not meet,urban,1.60,9,
Regional,0007267,North Liverpool,,red,Does not meet,urban,4.36,17,
Regional,0007268,Governer Macquarie,,red,Does not meet,urban,3.83,9,
Regional,0007269,Nuwarra,,orange,Likely meets (ADT),urban,2.12,2,
Regional,0007273,Albert,,red,Does not meet,urban,0.24,1,
Regional,0007276,Victoria,A40,red,Does not meet,urban,0.34,1,
Regional,0007277,Bettington,,red,Does not meet,urban,2.04,7,
Regional,0007279,Wentworth,,red,Does not meet,urban,3.52,8,
Regional,0007286,Luddenham,,red,Does not meet,rural,9.13,1,
Regional,0007287,Llandilo,,red,Does not meet,rural,7.43,6,Second
Regional,0007288,Dunheved,A9,red,Does not meet,urban,6.68,22,Werrington
Regional,0007289,Coreen,A9,red,Does not meet,urban,2.42,14,
Regional,0007290,Jamison,,orange,Likely meets (ADT),urban,3.28,8,
Regional,0007291,Old Bathurst,A32,red,Does not meet,urban,7.30,20,Wilson
Regional,0007292,Russell,A44,red,Does not meet,urban,1.32,4,
Regional,0007293,Roper,,red,Does not meet,urban,1.15,4,Hewitt
Regional,0007299,Cliff,A32,red,Does not meet,urban,9.83,10,
Regional,0007300,George,A22,red,Does not meet,urban,1.79,9,
Regional,0007301,Moore Park,M1,red,Does not meet,urban,4.15,14,Foveaux
Regional,0007302,Albion,,red,Does not meet,urban,0.87,4,
Regional,0007303,Harbour,A4,red,Does not meet,urban,1.26,9,Hay
Regional,0007304,Macquarie,,red,Does not meet,urban,2.71,11,College; Wentworth
Regional,0007305,Goulburn,,red,Does not meet,urban,1.43,5,Pier; William Henry
Regional,0007306,Bathurst,,red,Does not meet,urban,0.67,1,
Regional,0007307,Park,,red,Does not meet,urban,1.74,6,William; Druitt
Regional,0007308,King,,red,Does not meet,urban,0.63,1,
Regional,0007309,Kingsgrove,D5,red,Does not meet,urban,4.48,7,Croydon
Regional,0007310,Oxford,,red,Does not meet,urban,0.78,2,
Regional,0007311,Cowper Wharf,,red,Does not meet,urban,1.42,5,
Regional,0007312,Hickson,,red,Does not meet,urban,2.13,5,
Regional,0007313,Glebe Point,,red,Does not meet,urban,1.09,3,
Regional,0007314,Booth,,red,Does not meet,urban,2.49,5,Mallett; Moore
Regional,0007315,Balmain,,red,Does not meet,urban,1.85,4,
Regional,0007316,Lilyfield,A40,red,Does not meet,urban,2.00,5,
Regional,0007317,Mullens,,red,Does not meet,urban,1.25,4,Montague; Robert
Regional,0007318,Darling,,red,Does not meet,urban,1.65,2,
Regional,0007319,Henley Marine,A44,red,Does not meet,urban,1.96,19,Brent
Regional,0007320,Harris,,red,Does not meet,urban,0.77,5,
Regional,0007321,Burwood,,red,Does not meet,urban,0.75,2,
Regional,0007322,Broughton,,red,Does not meet,urban,0.83,2,
Regional,0007323,Underwood,,red,Does not meet,urban,0.56,1,
Regional,0007324,Underwood,,red,Does not meet,urban,2.18,13,Pomeroy
Regional,0007325,Majors Bay,,red,Does not meet,urban,10.03,51,Lyons
Regional,0007326,Great North,,red,Does not meet,urban,0.60,9,
Regional,0007328,Carrington,,red,Does not meet,urban,1.45,3,
Regional,0007329,Cowper,,red,Does not meet,urban,1.02,8,
Regional,0007330,York,,red,Does not meet,urban,4.13,18,Ocean; Avoca
Regional,0007331,Todman,M1,red,Does not meet,urban,2.37,23,Doncaster
Regional,0007332,Darley,,red,Does not meet,urban,4.48,35,Macpherson
Regional,0007334,Murray,,red,Does not meet,urban,1.19,15,Birrell
Regional,0007335,Birrell,,red,Does not meet,urban,3.02,11,Penkivil
Regional,0007336,Osullivan,,red,Does not meet,urban,2.67,6,Curlewis
Regional,0007337,Norton,A22,red,Does not meet,urban,0.50,2,
Regional,0007338,Network Change Do Not Load Data - Ernest,,red,Does not meet,urban,0.73,5,Network Change - Ernest; Ernest
Regional,0007340,Malabar,,red,Does not meet,urban,9.54,49,Arden; Beauchamp
Regional,0007341,Greenwich,,red,Does not meet,urban,0.32,2,
Regional,0007342,Lady Game,A3,red,Does not meet,urban,3.76,10,
Regional,0007343,Lawrence,,red,Does not meet,urban,4.98,14,
Regional,0007344,Kenneth,A8,red,Does not meet,urban,1.83,6,Balgowlah
Regional,0007345,Allambie,A8; A38,red,Does not meet,urban,4.45,17,Kentwell
Regional,0007346,Beacon Hill,A38,red,Does not meet,urban,3.65,10,Pitt; Winbourne
Regional,0007347,Mcintosh,A8,red,Does not meet,urban,2.50,6,
Regional,0007348,Fisher,A8,red,Does not meet,urban,0.72,2,
Regional,0007349,Springdale,,red,Does not meet,urban,1.82,6,Stanhope; Rosebery
Regional,0007350,Fox Valley,A1,red,Does not meet,urban,2.28,6,
Regional,0007351,Eastern,A1,red,Does not meet,urban,2.10,5,
Regional,0007352,Powderworks,A8,red,Does not meet,urban,4.50,8,
Regional,0007353,Darley,,red,Does not meet,urban,0.75,3,
Regional,0007365,Willandra,A8; A38,red,Does not meet,urban,5.13,19,Carawa
Regional,0007421,Kissing Pt,A1,red,Does not meet,urban,2.02,2,
Regional,0007464,Miller,,red,Does not meet,urban,0.47,4,Network Change Do Not Load Data - Blue
Regional,0007465,Lyton,,red,Does not meet,urban,4.92,14,Bungarribee; Lancaster
Regional,0007466,Hill,,red,Does not meet,urban,7.12,4,Holker
Regional,0007467,Chisholm,,red,Does not meet,urban,2.96,8,
Regional,0007468,Mona,,red,Does not meet,urban,0.82,1,
Regional,0007469,Bullecourt,,red,Does not meet,urban,0.60,1,
Regional,0007470,Green,,red,Does not meet,urban,9.36,20,Victoria
Regional,0007471,Carrington,,red,Does not meet,urban,1.11,3,
Regional,0007472,Falmouth,,red,Does not meet,urban,1.05,3,
Regional,0007474,Powers,,red,Does not meet,urban,1.77,3,
Regional,0007475,Quakers,,red,Does not meet,urban,2.46,2,
Regional,0007476,Harley,,red,Does not meet,rural,0.35,1,
Regional,0007477,Brooks,,red,Does not meet,urban,0.49,2,
Regional,0007478,Cambridge,,red,Does not meet,urban,1.07,1,
Regional,0007479,Broad Arrow,,red,Does not meet,urban,0.69,1,
Regional,0007480,Victoria,,red,Does not meet,urban,4.31,13,Cowpasture
Regional,0007481,Darcy,A28,red,Does not meet,urban,4.11,9,Park
Regional,0007482,County,,red,Does not meet,urban,2.81,2,
Regional,0007483,Duffy,,red,Does not meet,urban,0.32,1,
Regional,0007484,Macarthur,,red,Does not meet,urban,1.19,2,Harris
Regional,0007485,Christe,,red,Does not meet,urban,1.78,2,
Regional,0007486,Herring,,red,Does not meet,urban,2.04,4,
Regional,0007487,Talavera,,red,Does not meet,urban,1.70,3,
Regional,0007488,Kiora,,red,Does not meet,urban,0.69,3,
Regional,0007489,Albert,,red,Does not meet,urban,1.22,2,Archer
Regional,0007490,Archer,,red,Does not meet,urban,0.78,1,
Regional,0007507,Kanandah,,red,Does not meet,rural,4.97,3,Creedon
Regional,0007509,Titania,,red,Does not meet,rural,4.23,1,
Regional,0007510,Albion,,orange,Likely meets (ADT),rural,3.98,1,
Regional,0007511,Mandurama-Canowindra,,red,Does not meet,rural,43.28,4,
Regional,0007512,Goolma-Ballimore,,red,Does not meet,rural,39.54,5,
Regional,0007513,,,red,Does not meet,rural,76.36,6,
Regional,0007514,,,red,Does not meet,rural,94.80,7,
Regional,0007515,Warren To Combara,,red,Does not meet,rural,75.80,6,
Regional,0007516,,,red,Does not meet,rural,64.47,3,
Regional,0007517,,,red,Does not meet,rural,59.97,4,
Regional,0007518,,A32,red,Does not meet,rural,95.66,5,
Regional,0007519,,A39,red,Does not meet,rural,64.67,8,
Regional,0007521,,,red,Does not meet,rural,77.49,8,
Regional,0007522,,B75,red,Does not meet,rural,129.80,6,
Regional,0007523,Gerty,,orange,Likely meets (ADT),urban,1.62,2,Marshalls
Regional,0007524,Frederick,,orange,Likely meets (ADT),urban,0.47,1,
